gt_match_id,utr,settlement_batch_id,net_amount,currency,value_date,narration,anomaly_flags
GM000000,UTR402608728,BATCHGM000000,337.04,INR,2026-02-18,"Settlement for ORDGM000000 - Chhabra, Datta and Dhawan",missing_id
GM000001,UTR935078221,BATCHGM000001,3615.31,INR,2026-01-13,Settlement for ORDGM000001 - Agarwal LLC,
GM000002,UTR938466207,BATCHGM000002,1547.68,INR,2026-01-12,Settlement for ORDGM000002 - Karnik-Bora,
GM000003,UTR363044063,BATCHGM000003,103.39,INR,2026-01-18,Settlement for ORDGM000003 - Toor-Bahri,
GM000003R,R_UTR363044063,RBATCHGM000003R,-103.39,INR,2026-01-27,REFUND FOR TXNGM0000035456,refund
GM000004,UTR228558285,BATCHGM000004,692.40,INR,2026-01-14,"Settlement for ORDGM000004 - Dass, Oza and Chauhan",missing_id
GM000005,UTR106114540,BATCHGM000005,2266.62,INR,2026-01-14,Settlement for ORDGM000005 - Vaidya-Badami,
GM000007,UTR947787894,BATCHGM000007,880.52,INR,2026-02-11,"Settlement for ORDGM000007 - Batra, Ganguly and Hora",
GM000008,UTR528062569,BATCHGM000008,3076.90,INR,2026-02-06,Settlement for ORDGM000008 - Wason-Mann,
GM000009,UTR996410074,BATCHGM000009,577.65,INR,2026-02-05,Settlement for ORDGM000009 - Narayan PLC,
GM000010,UTR956364999,BATCHGM000010,2703.89,INR,2026-02-28,Settlement for ORDGM000010 - Wali Inc,
GM000013,UTR349122092,BATCHGM000013,1162.56,INR,2026-01-13,Settlement for ORDGM000013 - Goswami-Dash,
GM000013R,R_UTR349122092,RBATCHGM000013R,-1162.56,INR,2026-01-18,REFUND FOR TXNGM0000134661,refund
GM000016,UTR755378188,BATCHGM000016,889.63,INR,2026-02-05,Settlement for ORDGM000016 - Tiwari-Saran,timing
GM000017,UTR583833813,BATCHGM000017,907.40,INR,2026-01-31,Settlement for ORDGM000017 - Bhagat-Banik,timing
GM000018,UTR964370354,BATCHGM000018,4945.55,INR,2026-02-18,"Settlement for ORDGM000018 - Bedi, Dugar and Sarkar",
GM000019,UTR736790153,BATCHGM000019,1289.67,INR,2026-02-02,Settlement for ORDGM000019 - Rana-Natarajan,
GM000020,UTR479847415,BATCHGM000020,1345.19,INR,2026-02-21,Settlement for ORDGM000020 - Bandi LLC,missing_id
GM000021,UTR746408800,BATCHGM000021,1098.62,INR,2026-02-27,"Settlement for ORDGM000021 - Kaur, Prabhu and Deo",
GM000022,UTR845294630,BATCHGM000022,1520.19,INR,2026-01-25,Settlement for ORDGM000022 - Sanghvi-Narasimhan,
GM000023,UTR944765351,BATCHGM000023,2713.01,INR,2026-02-27,"Settlement for ORDGM000023 - Sarin, Loke and Nagy",
GM000024,UTR924268528,BATCHGM000024,726.40,INR,2026-01-31,"Settlement for ORDGM000024 - Gara, Narula and Wagle",
GM000025,UTR229565794,BATCHGM000025,5730.08,INR,2026-01-18,Settlement for ORDGM000025 - Malhotra PLC,
GM000026,UTR244843278,BATCHGM000026,3722.60,INR,2026-02-20,Settlement for ORDGM000026 - Oak-Saini,
GM000027,UTR362550992,BATCHGM000027,1737.89,INR,2026-02-09,Settlement for ORDGM000027 - Dube-Mallick,
GM000027R,R_UTR362550992,RBATCHGM000027R,-1737.89,INR,2026-02-16,REFUND FOR TXNGM0000279387,refund
GM000028,UTR522615262,BATCHGM000028,572.25,INR,2026-01-04,"Settlement for ORDGM000028 - Suri, Acharya and Mani",
GM000029,UTR141792532,BATCHGM000029,2539.85,INR,2026-01-06,Settlement for ORDGM000029 - Shanker PLC,
GM000030,UTR921110936,BATCHGM000030,430.78,INR,2026-02-04,Settlement for ORDGM000030 - Lad Group,
GM000031,UTR739294966,BATCHGM000031,427.69,INR,2026-01-05,Settlement for ORDGM000031 - Sibal Group,missing_id
GM000032,UTR451941195,BATCHGM000032,1011.72,INR,2026-01-29,Settlement for ORDGM000032 - Tata and Sons,
GM000033,UTR428427000,BATCHGM000033,5755.64,INR,2026-02-14,Settlement for ORDGM000033 - Choudhury and Sons,timing
GM000034,UTR290270235,BATCHGM000034,46.37,INR,2026-01-23,"Settlement for ORDGM000034 - Vora, Koshy and Rana",
GM000035,UTR883903456,BATCHGM000035,3342.41,INR,2026-02-25,Settlement for ORDGM000035 - Banerjee and Sons,missing_id
GM000036,UTR591509865,BATCHGM000036,1130.54,INR,2026-02-19,"Settlement for ORDGM000036 - Sood, Chokshi and Lad",timing
GM000037,UTR236726366,BATCHGM000037,800.21,INR,2026-01-18,Settlement for ORDGM000037 - Mitter-Handa,
GM000038,UTR660000561,BATCHGM000038,4256.87,INR,2026-01-13,"Settlement for ORDGM000038 - Sani, Deep and Deo",
GM000039,UTR634854186,BATCHGM000039,6688.47,INR,2026-02-28,"Settlement for ORDGM000039 - Dugar, Sethi and Bassi",
GM000041,UTR538100093,BATCHGM000041,318.25,INR,2026-01-24,Settlement for ORDGM000041 - Hegde-Mani,
GM000042,UTR827717532,BATCHGM000042,825.19,INR,2026-01-27,Settlement for ORDGM000042 - Dave-Saxena,
GM000043,UTR741943162,BATCHGM000043,1658.07,INR,2026-02-06,"Settlement for ORDGM000043 - Lalla, Kapur and Taneja",
GM000044,UTR879275399,BATCHGM000044,506.11,INR,2026-02-28,Settlement for ORDGM000044 - Raja and Sons,
GM000045,UTR461265960,BATCHGM000045,4764.49,INR,2026-02-21,Settlement for ORDGM000045 - Misra and Sons,
GM000046,UTR666099824,BATCHGM000046,1078.27,INR,2026-01-09,"Settlement for ORDGM000046 - Taneja, Choudhry and Ramesh",
GM000047,UTR428979837,BATCHGM000047,502.98,INR,2026-01-03,Settlement for ORDGM000047 - Bhatti Group,
GM000048,UTR391900993,BATCHGM000048,3461.29,INR,2026-03-08,Settlement for ORDGM000048 - Barad-Bera,timing
GM000049,UTR151382246,BATCHGM000049,3287.49,INR,2026-01-07,Settlement for ORDGM000049 - Trivedi Inc,
GM000050,UTR135773120,BATCHGM000050,1634.12,INR,2026-02-21,Settlement for ORDGM000050 - Mani PLC,timing
GM000051,UTR743095218,BATCHGM000051,450.18,INR,2026-02-28,Settlement for ORDGM000051 - Loyal PLC,
GM000052,UTR208979382,BATCHGM000052,4833.73,INR,2026-02-12,Settlement for ORDGM000052 - Kaur-Kulkarni,
GM000053,UTR209279415,BATCHGM000053,2293.63,INR,2026-02-25,"Settlement for ORDGM000053 - Uppal, Sachdeva and Madan",
GM000054,UTR380987312,BATCHGM000054,1214.74,INR,2026-01-23,"Settlement for ORDGM000054 - Prabhakar, Loyal and Chacko",
GM000054R,R_UTR380987312,RBATCHGM000054R,-1214.74,INR,2026-02-01,REFUND FOR TXNGM0000541016,refund
GM000055,UTR315918906,BATCHGM000055,909.74,INR,2026-02-01,Settlement for ORDGM000055 - Nazareth Inc,missing_id
GM000057,UTR788416975,BATCHGM000057,321.73,INR,2026-01-29,"Settlement for ORDGM000057 - Chana, Tata and Bora",missing_id
GM000058,UTR306451172,BATCHGM000058,2095.85,INR,2026-01-11,Settlement for ORDGM000058 - Ahluwalia-Dugar,
GM000058R,R_UTR306451172,RBATCHGM000058R,-2095.85,INR,2026-01-20,REFUND FOR TXNGM0000587312,refund
GM000059,UTR117339230,BATCHGM000059,1122.63,INR,2026-01-26,"Settlement for ORDGM000059 - Grover, Boase and Bains",
GM000060,UTR685822655,BATCHGM000060,1713.80,INR,2026-02-06,Settlement for ORDGM000060 - Lal-Desai,timing
GM000061,UTR195595675,BATCHGM000061,694.32,INR,2026-02-17,Settlement for ORDGM000061 - Grewal PLC,
GM000062,UTR804122111,BATCHGM000062,858.23,INR,2026-01-15,Settlement for ORDGM000062 - Dhawan PLC,
GM000063,UTR957185542,BATCHGM000063,6831.63,INR,2026-02-24,Settlement for ORDGM000063 - Morar-Tandon,
GM000064,UTR940420254,BATCHGM000064,574.40,INR,2026-01-12,Settlement for ORDGM000064 - Konda LLC,
GM000065,UTR301388905,BATCHGM000065,8649.52,INR,2026-02-10,Settlement for ORDGM000065 - Rattan and Sons,
GM000065R,R_UTR301388905,RBATCHGM000065R,-8649.52,INR,2026-02-18,REFUND FOR TXNGM0000651989,refund
GM000066,UTR217307131,BATCHGM000066,190.07,INR,2026-02-11,Settlement for ORDGM000066 - Pradhan Ltd,timing
GM000067,UTR828227779,BATCHGM000067,2025.55,INR,2026-03-02,Settlement for ORDGM000067 - Bath Inc,
GM000068,UTR924189447,BATCHGM000068,4198.26,INR,2026-01-31,"Settlement for ORDGM000068 - Lata, Deshpande and Rao",
GM000069,UTR946025024,BATCHGM000069,277.46,INR,2026-01-30,Settlement for ORDGM000069 - Kunda-Muni,timing
GM000070,UTR401969315,BATCHGM000070,472.86,INR,2026-02-05,Settlement for ORDGM000070 - Deo Inc,
GM000071,UTR805272211,BATCHGM000071,591.97,INR,2026-01-14,Settlement for ORDGM000071 - Dora Inc,missing_id
GM000072,UTR921947241,BATCHGM000072,300.85,INR,2026-02-22,"Settlement for ORDGM000072 - Rao, Mukherjee and Merchant",
GM000072R,R_UTR921947241,RBATCHGM000072R,-300.85,INR,2026-02-27,REFUND FOR TXNGM0000727611,refund
GM000073,UTR177593642,BATCHGM000073,4599.31,INR,2026-02-11,"Settlement for ORDGM000073 - Dave, Barad and Rajan",
GM000074,UTR255113864,BATCHGM000074,214.28,INR,2026-01-18,Settlement for ORDGM000074 - Grewal and Sons,
GM000075,UTR495064623,BATCHGM000075,267.84,INR,2026-01-22,Settlement for ORDGM000075 - Zacharia-Badal,
GM000077,UTR286645207,BATCHGM000077,2587.83,INR,2026-01-23,Settlement for ORDGM000077 - Tank-Chandra,
GM000077R,R_UTR286645207,RBATCHGM000077R,-2587.83,INR,2026-02-01,REFUND FOR TXNGM0000776166,refund
GM000078,UTR839541732,BATCHGM000078,1255.15,INR,2026-02-12,"Settlement for ORDGM000078 - Saini, Kumer and Pandya",
GM000079,UTR300172960,BATCHGM000079,2960.68,INR,2026-03-03,"Settlement for ORDGM000079 - Chaudry, Gokhale and Kara",
GM000079R,R_UTR300172960,RBATCHGM000079R,-2960.68,INR,2026-03-03,REFUND FOR TXNGM0000798009,refund
GM000080,UTR848677411,BATCHGM000080,2203.28,INR,2026-01-06,"Settlement for ORDGM000080 - Panchal, Patla and Mutti",
GM000081,UTR366574160,BATCHGM000081,219.44,INR,2026-01-02,Settlement for ORDGM000081 - Agate LLC,timing
GM000082,UTR981919377,BATCHGM000082,2429.09,INR,2026-02-14,Settlement for ORDGM000082 - Tailor LLC,timing
GM000084,UTR660040346,BATCHGM000084,841.36,INR,2026-03-01,Settlement for ORDGM000084 - Dewan Ltd,
GM000085,UTR670956214,BATCHGM000085,2682.90,INR,2026-01-06,"Settlement for ORDGM000085 - Desai, Garg and Nayar",timing
GM000086,UTR306958868,BATCHGM000086,567.12,INR,2026-02-23,"Settlement for ORDGM000086 - Apte, Gara and Dhillon",
GM000087,UTR608613192,BATCHGM000087,192.35,INR,2026-02-19,Settlement for ORDGM000087 - Sarma-Shan,
GM000088,UTR844868172,BATCHGM000088,3061.51,INR,2026-01-26,Settlement for ORDGM000088 - Patel-Sarma,
GM000089,UTR482501533,BATCHGM000089,1785.87,INR,2026-01-29,Settlement for ORDGM000089 - Srinivasan-Chadha,
GM000090,UTR732972993,BATCHGM000090,5141.19,INR,2026-01-13,"Sttlmnt fr RDGM000090 - Sr, zNrth nd Khls",corrupt
GM000091,UTR372662849,BATCHGM000091,7163.25,INR,2026-01-14,Settlement for ORDGM000091 - Hans Inc,
GM000092,UTR872644545,BATCHGM000092,2167.34,INR,2026-02-06,Settlement for ORDGM000092 - Tripathi Ltd,missing_id
GM000093,UTR134991985,BATCHGM000093,1384.80,INR,2026-02-10,Settlement for ORDGM000093 - Gopal PLC,
GM000094,UTR976864608,BATCHGM000094,11657.53,INR,2026-02-05,Settlement for ORDGM000094 - Pal and Sons,
GM000095,UTR175184149,BATCHGM000095,600.73,INR,2026-02-18,Settlement for ORDGM000095 - Kale-Balay,
GM000096,UTR528980565,BATCHGM000096,3742.51,INR,2026-02-20,"Settlement for ORDGM000096 - Sankar, Kota and Narasimhan",
GM000097,UTR457650926,BATCHGM000097,2734.98,INR,2026-02-02,Settlement for ORDGM000097 - Vala-Menon,
GM000098,UTR477328831,BATCHGM000098,3967.20,INR,2026-01-05,"Settlement for ORDGM000098 - Balay, Bassi and Reddy",
GM000099,UTR652225469,BATCHGM000099,33.25,INR,2026-01-31,"Settlement for ORDGM000099 - Vohra, Malhotra and Verma",
GM000101,UTR855608292,BATCHGM000101,97.31,INR,2026-01-30,"Settlement for ORDGM000101 - Suresh, Mukhopadhyay and Rau",
GM000102,UTR534689301,BATCHGM000102,955.53,INR,2026-01-20,Settlement for ORDGM000102 - Walia Inc,
GM000103,UTR381014642,BATCHGM000103,1124.59,INR,2026-01-04,"Settlement for ORDGM000103 - Srinivasan, Sawhney and Mallick",
GM000105,UTR518792982,BATCHGM000105,634.14,INR,2026-01-22,Sttlmnt rf RDGM000105 - Chwdhry-mRchndrn,corrupt
GM000106,UTR879238441,BATCHGM000106,781.45,INR,2026-02-21,"Settlement for ORDGM000106 - Som, Mangat and Bawa",
GM000107,UTR626144624,BATCHGM000107,52.35,INR,2026-02-18,Settlement for ORDGM000107 - Prashad-Chowdhury,
GM000108,UTR392185887,BATCHGM000108,5068.63,INR,2026-03-01,"Settlement for ORDGM000108 - Uppal, Mukherjee and Nagarajan",
GM000109,UTR819355565,BATCHGM000109,1987.72,INR,2026-01-12,"Settlement for ORDGM000109 - Chana, Oak and Lall",
GM000110,UTR463928105,BATCHGM000110,380.61,INR,2026-02-01,"Settlement for ORDGM000110 - Pingle, Nazareth and Shah",
