gt_match_id,order_id,expected_amount,currency,status,anomaly_flags
GM000000,ORDGM000000,337.04,INR,pending,
GM000001,ORDGM000001,3615.31,INR,pending,
GM000002,ORDGM000002,1547.68,INR,pending,
GM000003,ORDGM000003,103.39,INR,pending,
GM000003R,ORDGM000003R,-105.83,INR,pending,
GM000004,ORDGM000004,692.40,INR,pending,
GM000005,ORDGM000005,2266.62,INR,pending,
GM000006,ORDGM000006,1511.33,INR,pending,
GM000007,ORDGM000007,880.52,INR,pending,
GM000008,ORDGM000008,3076.90,INR,pending,
GM000009,ORDGM000009,577.65,INR,pending,
GM000010,ORDGM000010,2703.89,INR,pending,
GM000012,ORDGM000012,3386.83,INR,pending,
GM000013,ORDGM000013,1162.56,INR,pending,
GM000013R,ORDGM000013R,-1198.48,INR,pending,
GM000016,ORDGM000016,889.63,INR,pending,
GM000017,ORDGM000017,907.40,INR,pending,
GM000018,ORDGM000018,4945.55,INR,pending,
GM000019,ORDGM000019,1289.67,INR,pending,
GM000020,ORDGM000020,1345.19,INR,pending,
GM000021,ORDGM000021,1098.62,INR,pending,
GM000022,ORDGM000022,1520.19,INR,pending,
GM000023,ORDGM000023,2713.01,INR,pending,
GM000024,ORDGM000024,726.40,INR,pending,
GM000025,ORDGM000025,5730.08,INR,pending,
GM000026,ORDGM000026,3722.60,INR,pending,
GM000027,ORDGM000027,1737.89,INR,pending,
GM000027R,ORDGM000027R,-1792.22,INR,pending,
GM000028,ORDGM000028,572.25,INR,pending,
GM000029,ORDGM000029,2539.85,INR,pending,
GM000030,ORDGM000030,430.78,INR,pending,
GM000031,ORDGM000031,427.69,INR,pending,
GM000032,ORDGM000032,1011.72,INR,pending,
GM000033,ORDGM000033,5755.64,INR,pending,
GM000034,ORDGM000034,46.37,INR,pending,
GM000035,ORDGM000035,3342.41,INR,pending,
GM000036,ORDGM000036,1130.54,INR,pending,
GM000037,ORDGM000037,800.21,INR,pending,
GM000038,ORDGM000038,4256.87,INR,pending,
GM000039,ORDGM000039,6688.47,INR,pending,
GM000040,ORDGM000040,824.41,INR,pending,
GM000041,ORDGM000041,318.25,INR,pending,
GM000042,ORDGM000042,825.19,INR,pending,
GM000043,ORDGM000043,1658.07,INR,pending,
GM000044,ORDGM000044,506.11,INR,pending,
GM000045,ORDGM000045,4764.49,INR,pending,
GM000046,ORDGM000046,1078.27,INR,pending,
GM000047,ORDGM000047,502.98,INR,pending,
